cadeia,latitude,longitude,referencia_cadastral,uso_cadastral,area_edificio_m2,contexto,status_volta,motivo,fonte_area
Dia,39.4697591,-0.3798457,5423301YJ2752C,4_1_office,1196.6,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,41.6231744,2.6915283,4482616DG7048S,1_residential,89.3,Loja/edifício pequeno,Improvável,Implantação cadastral inferior a 400 m²,Catastro INSPIRE BU
Dia,40.9500574,-5.6315669,,,,Não classificado,Verificar,Não foi encontrado um edifício contendo a coordenada,Catastro INSPIRE BU
Dia,40.4720257,-3.6367924,6105901VK4860E,4_2_retail,4232.7,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,36.6625006,-4.7515687,3590401UF4539S,4_2_retail,4001.4,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,40.9458193,-5.6700256,5363901TL7356C,1_residential,1766.0,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,40.3493473,-3.8109812,1270301VK3616N,1_residential,4790.2,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,43.2944717,-2.986824,,,,Não classificado,Verificar,Não foi encontrado um edifício contendo a coordenada,Catastro INSPIRE BU
Dia,40.9990336,-5.6961691,3323901TL7432S,1_residential,924.0,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,40.4794783,-3.3634529,9312302VK6891S,1_residential,611.3,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,28.0453207,-16.5386125,,,,Não classificado,Verificar,Não foi encontrado um edifício contendo a coordenada,Catastro INSPIRE BU
Dia,40.4043018,-3.7130894,9531104VK3793B,1_residential,1211.7,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,40.548885,-3.6229622,7390511VK4879S,1_residential,163.3,Loja/edifício pequeno,Improvável,Implantação cadastral inferior a 400 m²,Catastro INSPIRE BU
Dia,40.4188507,-3.6997653,0646410VK4704D,1_residential,504.7,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,43.300097,-2.9876054,,,,Não classificado,Verificar,Não foi encontrado um edifício contendo a coordenada,Catastro INSPIRE BU
Dia,39.6641333,-0.2318587,7543302YJ3974D,1_residential,1144.8,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,36.7214904,-4.4287183,2550113UF7625S,1_residential,2648.9,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,40.2569676,-3.8246238,0069920VK2596N,1_residential,1213.9,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,37.1896659,-3.6090266,6163703VG4166C,1_residential,317.3,Loja/edifício pequeno,Improvável,Implantação cadastral inferior a 400 m²,Catastro INSPIRE BU
Dia,42.326114,-8.7834299,7963019NG1876S,1_residential,263.2,Loja/edifício pequeno,Improvável,Implantação cadastral inferior a 400 m²,Catastro INSPIRE BU
Dia,40.7128583,-4.1855137,9978924UL9097N,1_residential,363.8,Loja/edifício pequeno,Improvável,Implantação cadastral inferior a 400 m²,Catastro INSPIRE BU
Dia,43.2933609,-5.6786787,2871309TN8927S,1_residential,367.9,Loja/edifício pequeno,Improvável,Implantação cadastral inferior a 400 m²,Catastro INSPIRE BU
Dia,42.5184043,-0.3644402,6610403YN1161S,1_residential,999.6,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,40.3065758,-3.7368262,7523011VK3672S,1_residential,710.7,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,43.2648967,-2.9153666,,,,Não classificado,Verificar,Não foi encontrado um edifício contendo a coordenada,Catastro INSPIRE BU
